userId,pets,art,education,environment,health,human,international,faith,veteran,order
62e771cc72b19f2a83d389c0,16,14,13,23,23,33,20,10,10,first
62e7722872b19f2a83d389c9,12,18,17,18,17,10,0,0,0,increase
62e7726a72b19f2a83d389ce,8,3,4,4,5,4,5,4,5,first
62e7763372b19f2a83d38a0e,2,1,1,1,1,1,1,1,1,increase
62e7766372b19f2a83d38a10,12,11,16,6,18,12,16,13,10,increase
62e77bfc72b19f2a83d38a40,162,0,0,0,0,0,0,0,0,first
62e77cc972b19f2a83d38a45,13,18,24,21,16,13,19,19,19,first
62e77e53330b71d27bb9f573,16,12,14,20,27,19,18,19,17,increase
62e784f272b19f2a83d38a82,9,11,8,6,8,17,12,11,14,increase
62e7859372b19f2a83d38a84,18,18,18,18,18,18,18,18,18,increase
62e79e7e330b71d27bb9f5c6,12,10,11,20,19,21,32,23,14,first
62e7a2ba330b71d27bb9f5d1,15,19,18,18,24,20,17,16,15,first
62e7a32a330b71d27bb9f5d4,19,32,34,28,24,25,0,0,0,first
62e7a42e330b71d27bb9f5d9,29,19,24,32,6,0,14,18,20,first
62f56311b47a2cd650a8d98a,6,11,24,26,35,22,26,8,4,first
62f58143311b9c58ab6fff42,5,4,23,16,48,66,0,0,0,increase
62f5a137b47a2cd650a8d9ac,8,8,17,9,9,11,10,4,6,increase
