_id,pets,art,education,environment,health,human,international,faith,veteran,userId,time,completed,order
5e6bce9fe7fba54c8c42ab55,0,0,13,0,0,2,0,0,6,5e6bcc7c5f87134bc6854e7d,19:11.3,5e6bcc7c5f87134bc6854e7d,first
5e6bd604e7fba54c8c42ab71,3,10,4,9,5,5,8,0,0,5e6bd41fe7fba54c8c42ab69,50:44.9,5e6bd41fe7fba54c8c42ab69,first
5e6bd693e7fba54c8c42ab76,1,2,5,1,17,1,1,1,1,5e6bd47a5f87134bc6854e9d,53:07.3,5e6bd47a5f87134bc6854e9d,first
5e6bf13a5f87134bc6854efd,-3,4,9,5,7,4,6,-6,7,5e6bef34e7fba54c8c42abba,46:50.9,5e6bef34e7fba54c8c42abba,first
5e6bfc4ee7fba54c8c42abdf,6,5,7,5,9,6,2,2,8,5e6bf850e7fba54c8c42abd8,34:06.9,5e6bf850e7fba54c8c42abd8,first
5e6c02465f87134bc6854f2d,7,4,5,11,5,6,2,2,6,5e6bfd795f87134bc6854f15,59:34.3,5e6bfd795f87134bc6854f15,increase
5e6c02dce7fba54c8c42abf4,6,3,8,4,5,4,-1,5,5,5e6bff66e7fba54c8c42abe8,02:04.6,5e6bff66e7fba54c8c42abe8,increase
5e6c0cd6e7fba54c8c42ac04,0,0,16,4,4,4,0,0,4,5e6c0b835f87134bc6854f43,44:38.4,5e6c0b835f87134bc6854f43,increase
5e6c10e6e7fba54c8c42ac08,5,3,10,5,10,3,5,0,3,5e6c0ea95f87134bc6854f49,01:59.0,5e6c0ea95f87134bc6854f49,first
5e6c2481e7fba54c8c42ac1a,9,6,0,14,0,0,0,0,0,5e6c21995f87134bc6854f51,25:37.8,5e6c21995f87134bc6854f51,first
5e6c29da5f87134bc6854f58,1,7,3,7,4,1,4,-13,3,5e6c2777e7fba54c8c42ac1e,48:26.5,5e6c2777e7fba54c8c42ac1e,first
5e6c7b58e0274516a6f70f88,0,0,0,0,0,0,0,0,17,5e6c77871574cbb57f47bcae,36:08.3,5e6c77871574cbb57f47bcae,increase
5e6c86d81574cbb57f47bcb8,3,9,10,8,5,6,1,1,1,5e6c84b21574cbb57f47bcb5,25:12.8,5e6c84b21574cbb57f47bcb5,increase
5e6cbcf5979ac06d6a875d04,3,1,6,2,15,6,0,3,2,5e6cbc07979ac06d6a875d02,16:05.9,5e6cbc07979ac06d6a875d02,first
5e6d3db6c91d66cc55114049,7,0,7,7,8,8,0,0,7,5e6d39e3c91d66cc5511403a,25:27.0,5e6d39e3c91d66cc5511403a,increase
5e6d3f14878130d7d979b3d0,5,5,6,5,6,6,5,3,6,5e6d3aaa878130d7d979b3be,31:16.8,5e6d3aaa878130d7d979b3be,increase
5e6d4930c91d66cc55114054,4,3,6,13,6,4,3,-5,2,5e6d45a2878130d7d979b3db,14:24.2,5e6d45a2878130d7d979b3db,increase
5e6d4a5bc91d66cc55114057,10,5,7,3,10,4,1,2,4,5e6d4719878130d7d979b3de,19:23.9,5e6d4719878130d7d979b3de,first
5e6d5316878130d7d979b3f2,0,0,0,0,3,2,0,0,4,5e6d4fa3878130d7d979b3ec,56:39.0,5e6d4fa3878130d7d979b3ec,first
5e6d5aea878130d7d979b3f9,10,4,5,5,6,8,2,5,5,5e6d5717878130d7d979b3f6,30:02.8,5e6d5717878130d7d979b3f6,first
5e6d5db0878130d7d979b401,1,1,10,7,9,6,5,2,5,5e6d5b54878130d7d979b3fa,41:52.5,5e6d5b54878130d7d979b3fa,first
5e6d67adc91d66cc55114077,3,3,9,6,12,3,3,3,3,5e6d648d878130d7d979b405,24:29.2,5e6d648d878130d7d979b405,increase
5e6d78322d83860302215fe7,2,2,8,8,7,4,4,3,5,5e6d75b078f1e9809b6cc4aa,34:58.5,5e6d75b078f1e9809b6cc4aa,increase
5e6dfa91e33faab2ce9b2def,4,4,7,3,9,7,4,4,8,5e6df67fef8c6a9eb1e6c4a9,51:13.2,5e6df67fef8c6a9eb1e6c4a9,first
5e6e350d94fc2cc99801cd76,3,7,7,7,7,7,7,-3,3,5e6e338494fc2cc99801cd73,00:45.4,5e6e338494fc2cc99801cd73,increase
5e700d9b9e949d0e7a01919e,1,-8,1,3,7,1,2,-10,9,5e7008c076e558fd22a9897a,36:59.9,5e7008c076e558fd22a9897a,increase
5e717155b012ccdb060c459d,5,-5,-9,7,4,-5,-5,-7,-5,5e716e1d19cffa9016c99602,54:45.7,5e716e1d19cffa9016c99602,increase
5e7204249a33db639218b8f6,0,0,0,15,9,0,0,0,4,5e7200af9a33db639218b8f3,21:08.2,5e7200af9a33db639218b8f3,increase
