,userId,condition,order,topic_1,topic_1_val_vote,topic_2,topic_2_val_vote,vote_diff,vote_diff_norm,vote_diff_ordinal,topic_1_val_donation,topic_2_val_donation,donation_diff,total_spent,donation_diff_norm,condition_id
8550,5e6bed32e7fba54c8c42abaf,qv36_c,decrease,pets,3,art,-2,5.0,0.13888888888888884,,0,0,0,15,0.0,9
8551,5e6beda15f87134bc6854eeb,qv36_c,first,pets,2,art,-1,3.0,0.08333333333333326,,0,0,0,10,0.0,9
8552,5e6bf17b5f87134bc6854efe,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,10,0.0,9
8553,5e6bf1a75f87134bc6854f00,qv36_c,first,pets,0,art,3,-9.0,-0.25,,0,5,-5,35,-0.1428571428571429,9
8554,5e6bf850e7fba54c8c42abd8,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,35,0.0,9
8555,5e6bff66e7fba54c8c42abe8,qv36_c,first,pets,2,art,-2,0.0,0.0,,1,1,0,9,0.0,9
8556,5e6c00dc5f87134bc6854f23,qv36_c,first,pets,1,art,1,0.0,0.0,,3,2,1,35,0.02857142857142847,9
8557,5e6c0ea95f87134bc6854f49,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,10,0.0,9
8558,5e6c21995f87134bc6854f51,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,1,0.0,9
8559,5e6c4ce51b1ab957b9f0e81a,qv36_c,decrease,pets,0,art,0,0.0,0.0,,8,0,8,25,0.32000000000000006,9
8560,5e6c84b21574cbb57f47bcb5,qv36_c,first,pets,0,art,5,-25.0,-0.6944444444444444,,20,10,10,35,0.2857142857142858,9
8561,5e6ce5c1edaf169ff3243e69,qv36_c,first,pets,2,art,0,4.0,0.11111111111111116,,0,0,0,15,0.0,9
8562,5e6d32a6878130d7d979b3ac,qv36_c,first,pets,5,art,0,25.0,0.6944444444444444,,5,0,5,5,1.0,9
8563,5e6d375bc91d66cc55114032,qv36_c,decrease,pets,2,art,0,4.0,0.11111111111111116,,5,0,5,10,0.5,9
8564,5e6d3aaa878130d7d979b3be,qv36_c,first,pets,1,art,2,-3.0,-0.08333333333333337,,1,3,-2,32,-0.0625,9
8565,5e6d4719878130d7d979b3de,qv36_c,decrease,pets,3,art,3,0.0,0.0,,16,0,16,33,0.48484848484848486,9
8566,5e6d4a21878130d7d979b3e2,qv36_c,decrease,pets,0,art,0,0.0,0.0,,0,0,0,4,0.0,9
8567,5e6d5b54878130d7d979b3fa,qv36_c,decrease,pets,0,art,0,0.0,0.0,,2,0,2,31,0.06451612903225801,9
8568,5e6d75b078f1e9809b6cc4aa,qv36_c,first,pets,0,art,2,-4.0,-0.11111111111111116,,0,0,0,17,0.0,9
8569,5e6d75b72d83860302215fe1,qv36_c,first,pets,2,art,0,4.0,0.11111111111111116,,20,0,20,35,0.5714285714285714,9
8570,5e6d8ff2cadc6ed319c439ae,qv36_c,first,pets,2,art,0,4.0,0.11111111111111116,,5,0,5,15,0.33333333333333326,9
8571,5e7018f99e949d0e7a0191a2,qv36_c,decrease,pets,0,art,1,-1.0,-0.02777777777777779,,0,0,0,15,0.0,9
8572,5e62c4156ffda4487364f751,qv36_c,first,pets,2,education,0,4.0,0.11111111111111116,,0,0,0,5,0.0,9
8573,5e640f2eae7e33fbc93cdd09,qv36_c,decrease,pets,1,education,0,1.0,0.02777777777777768,,0,0,0,10,0.0,9
8574,5e64113fae7e33fbc93cdd10,qv36_c,decrease,pets,1,education,3,-8.0,-0.2222222222222222,,10,0,10,35,0.2857142857142858,9
8575,5e6488ec23530f5bd5b24194,qv36_c,decrease,pets,1,education,2,-3.0,-0.08333333333333337,,0,2,-2,4,-0.5,9
8576,5e64adba54fc700d6d481f58,qv36_c,decrease,pets,2,education,0,4.0,0.11111111111111116,,5,0,5,10,0.5,9
8577,5e64db6e8fa94cf0fc4d2da8,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,0,0,0,10,0.0,9
8578,5e64eeea15730e913ec09a2f,qv36_c,first,pets,2,education,1,3.0,0.08333333333333326,,0,0,0,35,0.0,9
8579,5e64f7239472cb582b7b95cd,qv36_c,decrease,pets,-3,education,0,9.0,0.25,,0,0,0,5,0.0,9
8580,5e6520fbb07dd22d67cbf0e7,qv36_c,first,pets,3,education,1,8.0,0.22222222222222232,,25,0,25,25,1.0,9
8581,5e65b7944bf44833d0d2d9df,qv36_c,decrease,pets,3,education,1,8.0,0.22222222222222232,,10,0,10,10,1.0,9
8582,5e663c7f4e03dda6b1aa364d,qv36_c,decrease,pets,1,education,3,-8.0,-0.2222222222222222,,1,0,1,2,0.5,9
8583,5e665300eaa71621a7de99a4,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,0,2,-2,4,-0.5,9
8584,5e66931f64d96d0f05e1fee1,qv36_c,first,pets,0,education,2,-4.0,-0.11111111111111116,,0,0,0,20,0.0,9
8585,5e66be8e6f15e952fff7f426,qv36_c,first,pets,0,education,2,-4.0,-0.11111111111111116,,0,10,-10,25,-0.4,9
8586,5e679806cf42b30c2a2a92ab,qv36_c,decrease,pets,0,education,3,-9.0,-0.25,,0,0,0,10,0.0,9
8587,5e67984fd7fac4629a2d3a50,qv36_c,decrease,pets,2,education,2,0.0,0.0,,0,0,0,35,0.0,9
8588,5e67e77601cfd97a4a60f99d,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,0,2,-2,6,-0.33333333333333337,9
8589,5e680f034cb6e4474b63ab4f,qv36_c,decrease,pets,4,education,1,15.0,0.41666666666666674,,10,3,7,35,0.19999999999999996,9
8590,5e68175b4cb6e4474b63ab5d,qv36_c,first,pets,2,education,2,0.0,0.0,,1,0,1,14,0.0714285714285714,9
8591,5e6836f197370349abe9e4eb,qv36_c,decrease,pets,0,education,2,-4.0,-0.11111111111111116,,0,5,-5,10,-0.5,9
8592,5e68386f45f62f90eca9b0be,qv36_c,decrease,pets,2,education,2,0.0,0.0,,15,0,15,15,1.0,9
8593,5e683f2197370349abe9e4f3,qv36_c,first,pets,3,education,1,8.0,0.22222222222222232,,10,0,10,35,0.2857142857142858,9
8594,5e6847ac97370349abe9e4f7,qv36_c,decrease,pets,0,education,3,-9.0,-0.25,,1,1,0,2,0.0,9
8595,5e684a7d45f62f90eca9b0d9,qv36_c,first,pets,0,education,3,-9.0,-0.25,,0,5,-5,20,-0.25,9
8596,5e68970d97370349abe9e54d,qv36_c,decrease,pets,1,education,4,-15.0,-0.41666666666666663,,4,7,-3,35,-0.08571428571428574,9
8597,5e68bdd045f62f90eca9b145,qv36_c,first,pets,2,education,2,0.0,0.0,,10,0,10,28,0.3571428571428572,9
8598,5e68e06645f62f90eca9b176,qv36_c,decrease,pets,1,education,3,-8.0,-0.2222222222222222,,0,0,0,5,0.0,9
8599,5e690de245f62f90eca9b1a3,qv36_c,decrease,pets,1,education,3,-8.0,-0.2222222222222222,,5,5,0,35,0.0,9
8600,5e690e5a97370349abe9e5de,qv36_c,decrease,pets,2,education,3,-5.0,-0.13888888888888884,,5,5,0,25,0.0,9
8601,5e6974d17f3f6b78b44bd2c7,qv36_c,decrease,pets,1,education,1,0.0,0.0,,0,0,0,30,0.0,9
8602,5e69b9d65b4cc647876e37f0,qv36_c,first,pets,1,education,2,-3.0,-0.08333333333333337,,2,2,0,18,0.0,9
8603,5e69bb4d5b4cc647876e37f2,qv36_c,decrease,pets,2,education,1,3.0,0.08333333333333326,,0,0,0,15,0.0,9
8604,5e69d1455b4cc647876e3811,qv36_c,decrease,pets,0,education,0,0.0,0.0,,0,0,0,10,0.0,9
8605,5e69d22b5b4cc647876e3813,qv36_c,decrease,pets,2,education,3,-5.0,-0.13888888888888884,,0,30,-30,30,-1.0,9
8606,5e69fc105b4cc647876e3846,qv36_c,decrease,pets,3,education,0,9.0,0.25,,10,5,5,35,0.1428571428571428,9
8607,5e6a148e0f4ac1a30c21d661,qv36_c,first,pets,4,education,0,16.0,0.4444444444444444,,0,0,0,5,0.0,9
8608,5e6a69e624a351b3373d8094,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,0,0,0,10,0.0,9
8609,5e6a76d09669a5e668ccf7ce,qv36_c,decrease,pets,1,education,2,-3.0,-0.08333333333333337,,0,0,0,5,0.0,9
8610,5e6a89df9669a5e668ccf7e9,qv36_c,first,pets,2,education,2,0.0,0.0,,5,0,5,15,0.33333333333333326,9
8611,5e6a99c39669a5e668ccf7ff,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,3,3,0,23,0.0,9
8612,5e6ab03024a351b3373d80df,qv36_c,first,pets,2,education,2,0.0,0.0,,2,1,1,8,0.125,9
8613,5e6ad97e24a351b3373d8104,qv36_c,first,pets,3,education,-3,0.0,0.0,,10,0,10,35,0.2857142857142858,9
8614,5e6ae5a19669a5e668ccf85a,qv36_c,first,pets,3,education,2,5.0,0.13888888888888884,,5,0,5,10,0.5,9
8615,5e6b28d59669a5e668ccf892,qv36_c,decrease,pets,3,education,1,8.0,0.22222222222222232,,5,0,5,29,0.17241379310344818,9
8616,5e6bad49e7fba54c8c42aaa4,qv36_c,first,pets,1,education,2,-3.0,-0.08333333333333337,,1,1,0,6,0.0,9
8617,5e6bae475f87134bc6854dd0,qv36_c,first,pets,1,education,1,0.0,0.0,,0,0,0,10,0.0,9
8618,5e6bb2b65f87134bc6854df6,qv36_c,first,pets,0,education,0,0.0,0.0,,0,0,0,17,0.0,9
8619,5e6bb344e7fba54c8c42aace,qv36_c,first,pets,0,education,0,0.0,0.0,,0,0,0,1,0.0,9
8620,5e6bb5d25f87134bc6854e03,qv36_c,decrease,pets,0,education,2,-4.0,-0.11111111111111116,,0,0,0,5,0.0,9
8621,5e6bba82e7fba54c8c42aafb,qv36_c,decrease,pets,0,education,0,0.0,0.0,,0,0,0,10,0.0,9
8622,5e6bc1ac5f87134bc6854e53,qv36_c,first,pets,0,education,3,-9.0,-0.25,,10,10,0,35,0.0,9
8623,5e6bc9dd5f87134bc6854e75,qv36_c,first,pets,2,education,1,3.0,0.08333333333333326,,5,0,5,10,0.5,9
8624,5e6bd41fe7fba54c8c42ab69,qv36_c,decrease,pets,0,education,0,0.0,0.0,,0,0,0,35,0.0,9
8625,5e6bd8015f87134bc6854eb2,qv36_c,decrease,pets,2,education,2,0.0,0.0,,1,5,-4,35,-0.11428571428571432,9
8626,5e6bed32e7fba54c8c42abaf,qv36_c,decrease,pets,3,education,-1,8.0,0.22222222222222232,,0,0,0,15,0.0,9
8627,5e6beda15f87134bc6854eeb,qv36_c,first,pets,2,education,3,-5.0,-0.13888888888888884,,0,5,-5,10,-0.5,9
8628,5e6bf17b5f87134bc6854efe,qv36_c,decrease,pets,0,education,2,-4.0,-0.11111111111111116,,0,5,-5,10,-0.5,9
8629,5e6bf1a75f87134bc6854f00,qv36_c,first,pets,0,education,1,-1.0,-0.02777777777777779,,0,0,0,35,0.0,9
8630,5e6bf850e7fba54c8c42abd8,qv36_c,decrease,pets,0,education,3,-9.0,-0.25,,0,0,0,35,0.0,9
8631,5e6bff66e7fba54c8c42abe8,qv36_c,first,pets,2,education,3,-5.0,-0.13888888888888884,,1,1,0,9,0.0,9
8632,5e6c00dc5f87134bc6854f23,qv36_c,first,pets,1,education,2,-3.0,-0.08333333333333337,,3,5,-2,35,-0.05714285714285716,9
8633,5e6c0ea95f87134bc6854f49,qv36_c,decrease,pets,0,education,4,-16.0,-0.4444444444444444,,0,0,0,10,0.0,9
8634,5e6c21995f87134bc6854f51,qv36_c,decrease,pets,0,education,0,0.0,0.0,,0,0,0,1,0.0,9
8635,5e6c4ce51b1ab957b9f0e81a,qv36_c,decrease,pets,0,education,0,0.0,0.0,,8,0,8,25,0.32000000000000006,9
8636,5e6c84b21574cbb57f47bcb5,qv36_c,first,pets,0,education,1,-1.0,-0.02777777777777779,,20,0,20,35,0.5714285714285714,9
8637,5e6ce5c1edaf169ff3243e69,qv36_c,first,pets,2,education,0,4.0,0.11111111111111116,,0,0,0,15,0.0,9
8638,5e6d32a6878130d7d979b3ac,qv36_c,first,pets,5,education,1,24.0,0.6666666666666667,,5,0,5,5,1.0,9
8639,5e6d375bc91d66cc55114032,qv36_c,decrease,pets,2,education,2,0.0,0.0,,5,0,5,10,0.5,9
8640,5e6d3aaa878130d7d979b3be,qv36_c,first,pets,1,education,3,-8.0,-0.2222222222222222,,1,3,-2,32,-0.0625,9
8641,5e6d4719878130d7d979b3de,qv36_c,decrease,pets,3,education,3,0.0,0.0,,16,0,16,33,0.48484848484848486,9
8642,5e6d4a21878130d7d979b3e2,qv36_c,decrease,pets,0,education,5,-25.0,-0.6944444444444444,,0,2,-2,4,-0.5,9
