,userId,condition,topic_1,topic_1_val,topic_2,topic_2_val,donation_diff
99,5e684a7d45f62f90eca9b0d9,qv36,pets,0,education,5,-5
100,5e68970d97370349abe9e54d,qv36,pets,4,education,7,-3
101,5e68bdd045f62f90eca9b145,qv36,pets,10,education,0,10
102,5e68e06645f62f90eca9b176,qv36,pets,0,education,0,0
103,5e690de245f62f90eca9b1a3,qv36,pets,5,education,5,0
104,5e690e5a97370349abe9e5de,qv36,pets,5,education,5,0
105,5e6974d17f3f6b78b44bd2c7,qv36,pets,0,education,0,0
106,5e69b9d65b4cc647876e37f0,qv36,pets,2,education,2,0
107,5e69bb4d5b4cc647876e37f2,qv36,pets,0,education,0,0
108,5e69d1455b4cc647876e3811,qv36,pets,0,education,0,0
109,5e69d22b5b4cc647876e3813,qv36,pets,0,education,30,-30
110,5e69fc105b4cc647876e3846,qv36,pets,10,education,5,5
111,5e6a148e0f4ac1a30c21d661,qv36,pets,0,education,0,0
112,5e6a69e624a351b3373d8094,qv36,pets,0,education,0,0
113,5e6a76d09669a5e668ccf7ce,qv36,pets,0,education,0,0
114,5e6a89df9669a5e668ccf7e9,qv36,pets,5,education,0,5
115,5e6a99c39669a5e668ccf7ff,qv36,pets,3,education,3,0
116,5e6ab03024a351b3373d80df,qv36,pets,2,education,1,1
117,5e6ad97e24a351b3373d8104,qv36,pets,10,education,0,10
118,5e6ae5a19669a5e668ccf85a,qv36,pets,5,education,0,5
119,5e6b28d59669a5e668ccf892,qv36,pets,5,education,0,5
120,5e6bad49e7fba54c8c42aaa4,qv36,pets,1,education,1,0
121,5e6bae475f87134bc6854dd0,qv36,pets,0,education,0,0
122,5e6bb2b65f87134bc6854df6,qv36,pets,0,education,0,0
123,5e6bb344e7fba54c8c42aace,qv36,pets,0,education,0,0
124,5e6bb5d25f87134bc6854e03,qv36,pets,0,education,0,0
125,5e6bba82e7fba54c8c42aafb,qv36,pets,0,education,0,0
126,5e6bc1ac5f87134bc6854e53,qv36,pets,10,education,10,0
127,5e6bc9dd5f87134bc6854e75,qv36,pets,5,education,0,5
128,5e6bd41fe7fba54c8c42ab69,qv36,pets,0,education,0,0
129,5e6bd8015f87134bc6854eb2,qv36,pets,1,education,5,-4
130,5e6bed32e7fba54c8c42abaf,qv36,pets,0,education,0,0
131,5e6beda15f87134bc6854eeb,qv36,pets,0,education,5,-5
132,5e6bf17b5f87134bc6854efe,qv36,pets,0,education,5,-5
133,5e6bf1a75f87134bc6854f00,qv36,pets,0,education,0,0
134,5e6bf850e7fba54c8c42abd8,qv36,pets,0,education,0,0
135,5e6bff66e7fba54c8c42abe8,qv36,pets,1,education,1,0
136,5e6c00dc5f87134bc6854f23,qv36,pets,3,education,5,-2
137,5e6c0ea95f87134bc6854f49,qv36,pets,0,education,0,0
138,5e6c21995f87134bc6854f51,qv36,pets,0,education,0,0
139,5e6c4ce51b1ab957b9f0e81a,qv36,pets,8,education,0,8
140,5e6c84b21574cbb57f47bcb5,qv36,pets,20,education,0,20
141,5e6ce5c1edaf169ff3243e69,qv36,pets,0,education,0,0
142,5e6d32a6878130d7d979b3ac,qv36,pets,5,education,0,5
143,5e6d375bc91d66cc55114032,qv36,pets,5,education,0,5
144,5e6d3aaa878130d7d979b3be,qv36,pets,1,education,3,-2
145,5e6d4719878130d7d979b3de,qv36,pets,16,education,0,16
146,5e6d4a21878130d7d979b3e2,qv36,pets,0,education,2,-2
147,5e6d5b54878130d7d979b3fa,qv36,pets,2,education,7,-5
148,5e6d75b078f1e9809b6cc4aa,qv36,pets,0,education,2,-2
149,5e6d75b72d83860302215fe1,qv36,pets,20,education,0,20
150,5e6d8ff2cadc6ed319c439ae,qv36,pets,5,education,0,5
151,5e7018f99e949d0e7a0191a2,qv36,pets,0,education,5,-5
152,5e62c4156ffda4487364f751,qv36,pets,0,environment,5,-5
153,5e640f2eae7e33fbc93cdd09,qv36,pets,0,environment,0,0
154,5e64113fae7e33fbc93cdd10,qv36,pets,10,environment,10,0
155,5e6488ec23530f5bd5b24194,qv36,pets,0,environment,0,0
156,5e64adba54fc700d6d481f58,qv36,pets,5,environment,0,5
157,5e64db6e8fa94cf0fc4d2da8,qv36,pets,0,environment,10,-10
158,5e64eeea15730e913ec09a2f,qv36,pets,0,environment,0,0
159,5e64f7239472cb582b7b95cd,qv36,pets,0,environment,5,-5
160,5e6520fbb07dd22d67cbf0e7,qv36,pets,25,environment,0,25
161,5e65b7944bf44833d0d2d9df,qv36,pets,10,environment,0,10
162,5e663c7f4e03dda6b1aa364d,qv36,pets,1,environment,1,0
163,5e665300eaa71621a7de99a4,qv36,pets,0,environment,2,-2
164,5e66931f64d96d0f05e1fee1,qv36,pets,0,environment,5,-5
165,5e66be8e6f15e952fff7f426,qv36,pets,0,environment,5,-5
166,5e679806cf42b30c2a2a92ab,qv36,pets,0,environment,0,0
167,5e67984fd7fac4629a2d3a50,qv36,pets,0,environment,10,-10
168,5e67e77601cfd97a4a60f99d,qv36,pets,0,environment,0,0
169,5e680f034cb6e4474b63ab4f,qv36,pets,10,environment,4,6
170,5e68175b4cb6e4474b63ab5d,qv36,pets,1,environment,0,1
171,5e6836f197370349abe9e4eb,qv36,pets,0,environment,0,0
172,5e68386f45f62f90eca9b0be,qv36,pets,15,environment,0,15
173,5e683f2197370349abe9e4f3,qv36,pets,10,environment,5,5
174,5e6847ac97370349abe9e4f7,qv36,pets,1,environment,0,1
175,5e684a7d45f62f90eca9b0d9,qv36,pets,0,environment,5,-5
176,5e68970d97370349abe9e54d,qv36,pets,4,environment,4,0
