,userId,condition_vote,order,topic_1,topic_1_val_vote,topic_2,topic_2_val_vote,vote_diff,diff_dir_vote,condition_donation,topic_1_val_donation,topic_2_val_donation,donation_diff,diff_dir_donation,diff_dir_aligned,diff_dir_aligned_int
71,5e62c4156ffda4487364f751,qv324,increase,environment,13,veteran,4,9,gt0,qv36,5,0,5,gt0,True,1
72,5e62c4156ffda4487364f751,qv36,first,faith,0,veteran,1,-1,lt0,qv36,0,0,0,eq0,True,1
73,5e62c4156ffda4487364f751,qv324,increase,faith,0,veteran,4,-4,lt0,qv36,0,0,0,eq0,True,1
74,5e62c4156ffda4487364f751,qv36,first,health,1,faith,0,1,gt0,qv36,0,0,0,eq0,True,1
75,5e62c4156ffda4487364f751,qv324,increase,health,6,faith,0,6,gt0,qv36,0,0,0,eq0,True,1
76,5e62c4156ffda4487364f751,qv36,first,health,1,human,2,-1,lt0,qv36,0,0,0,eq0,True,1
77,5e62c4156ffda4487364f751,qv324,increase,health,6,human,5,1,gt0,qv36,0,0,0,eq0,True,1
78,5e62c4156ffda4487364f751,qv36,first,health,1,international,0,1,gt0,qv36,0,0,0,eq0,True,1
79,5e62c4156ffda4487364f751,qv324,increase,health,6,international,6,0,eq0,qv36,0,0,0,eq0,True,1
80,5e62c4156ffda4487364f751,qv36,first,health,1,veteran,1,0,eq0,qv36,0,0,0,eq0,True,1
81,5e62c4156ffda4487364f751,qv324,increase,health,6,veteran,4,2,gt0,qv36,0,0,0,eq0,True,1
82,5e62c4156ffda4487364f751,qv36,first,human,2,faith,0,2,gt0,qv36,0,0,0,eq0,True,1
83,5e62c4156ffda4487364f751,qv324,increase,human,5,faith,0,5,gt0,qv36,0,0,0,eq0,True,1
84,5e62c4156ffda4487364f751,qv36,first,human,2,international,0,2,gt0,qv36,0,0,0,eq0,True,1
85,5e62c4156ffda4487364f751,qv324,increase,human,5,international,6,-1,lt0,qv36,0,0,0,eq0,True,1
86,5e62c4156ffda4487364f751,qv36,first,human,2,veteran,1,1,gt0,qv36,0,0,0,eq0,True,1
87,5e62c4156ffda4487364f751,qv324,increase,human,5,veteran,4,1,gt0,qv36,0,0,0,eq0,True,1
88,5e62c4156ffda4487364f751,qv36,first,international,0,faith,0,0,eq0,qv36,0,0,0,eq0,True,1
